date,name,city,country,distances,status,price,major,url
2026-01-25,Standard Chartered Dubai Marathon,Dubai,UAE,"42K, 21K",Open,€100 - €120,False,https://www.dubaimarathon.org
2026-02-15,Kyoto Marathon,Kyoto,Japan,42K,Sold Out,"¥15,000",False,https://www.kyoto-marathon.com
2026-02-15,Seville Marathon,Seville,Spain,42K,Sold Out,€75,False,https://www.zurichmaratonsevilla.es
2026-03-01,Tokyo Marathon,Tokyo,Japan,42K,Sold Out,"¥18,000",True,https://www.marathon.tokyo
2026-03-15,RomaOstia Half Marathon,Roma,Italy,21K,Open,€40,False,https://www.romaostia.it
2026-04-12,Schneider Electric Marathon de Paris,Parigi,France,42K,Charity Entries,Charity,False,https://www.parismarathon.com
2026-04-12,Hannover Marathon,Hannover,Germany,"42K, 21K",Open,€90,False,https://www.marathon-hannover.de/landingpage.html
2026-04-13,Boston Marathon,Boston,USA,42K,Sold Out,$200 - $250,True,https://www.baa.org
2026-04-19,Connemara International Marathon,"Connemara, Galway",Ireland,42K,Open,€70,False,https://www.connemarathon.com/
2026-04-26,Maratona di Londra,Londra,UK,42K,Sold Out,£80,True,https://www.tcslondonmarathon.com
2026-05-03,ColleMar-athon,Fano,Italy,42K,Open,€30,False,https://www.collemar-athon.com/
2026-05-03,Prague Marathon,Prague,Czech Republic,42K,Open,"€120 (2,900.00 Kč)",False,https://www.runczech.com/en
2026-06-14,Phnom Penh International Half Marathon,Phnom Penh,Cambodia,21K,Open,$40,False,https://www.phnompenhmarathon.org
2026-09-27,Baxter Lockness Marathon,Inverness,UK,42K,Open,£60,False,https://lochnessmarathon.com/
2026-09-27,BMW Berlin Marathon,Berlino,Germany,42K,Sold Out,€190,True,https://www.bmw-berlin-marathon.com
2026-10-10,Lisbon Marathon,Lisbona,Portugal,42K,Open,€70 - €90,False,https://maratonaclubedeportugal.com/en/prova/edp-lisbon-marathon-2026/
2026-10-11,Bank of America Chicago Marathon,Chicago,USA,42K,Sold Out,$240,True,https://www.chicagomarathon.com
2026-10-18,TCS Amsterdam Marathon,Amsterdam,Netherlands,"42K, 21K",Open,€95 - €125,False,https://www.tcsamsterdammarathon.eu
2026-10-25,Venice Marathon,Venezia,Italy,"42K, 21K",Open,€70 - €100,False,https://www.venicemarathon.it
2026-11-01,TCS New York City Marathon,New York City,USA,42K,Sold Out,$295 - $350,True,https://www.nycmarathon.org
2026-11-29,Amazing Thailand Marathon Bangkok,Bangkok,Thailand,"42K, 21K",Open,"฿1,500 - ฿2,000",False,https://amazingthailandmarathon.com
2026-12-06,Valencia Marathon Trinidad Alfonso,Valencia,Spain,42K,Open,€80 - €120,False,https://www.maratonvalencia.com
